"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_1_TR_6"	"CEC3672_1_FP_24"	"CEC3672_2_FP_6"	"CEC3609_1_TR_24"	"NI_1_TR_3"	"NI_2_TR_3"	"CEC3672_1_TR_6"	"CEC3672_3_TR_24"	"CEC3609_2_FP_3"	"NI_1_TR_24"	"CEC3609_1_FP_6"	"NI_3_TR_3"	"CEC3672_2_FP_3"	"CEC3672_3_FP_24"	"CEC3609_3_FP_6"	"CEC3609_2_FP_24"	"CEC3609_1_TR_3"	"CEC3609_3_FP_24"	"CEC3609_2_TR_3"	"CEC3672_1_FP_3"	"CEC3672_2_TR_6"	"CEC3672_1_FP_6"	"CEC3672_3_FP_6"	"CEC3672_3_FP_3"	"CEC3609_3_TR_3"	"CEC3672_2_TR_24"	"CEC3609_1_FP_24"	"NI_2_TR_6"	"CEC3672_3_TR_3"	"CEC3609_2_TR_24"	"CEC3609_2_TR_6"	"NI_2_TR_24"	"CEC3609_2_FP_6"	"NI_1_TR_6"	"CEC3672_2_TR_3"	"CEC3672_1_TR_24"	"CEC3609_1_FP_3"	"CEC3672_2_FP_24"	"CEC3672_1_TR_3"	"CEC3609_3_TR_6"	"NI_3_TR_24"	"CEC3609_3_FP_3"	"CEC3609_3_TR_24"	"CEC3672_3_TR_6"
"C1_09860C_A"	"Ca22chr1A_C_albicans_SC5314"	2158652	2159836	"-"	1185	"C1_09860C_A"	"TFA1"	"%28orf19.4851%29%20Protein%20with%20polyglutamate%20motifs%20and%20abundant%20Ser%2FThr%20residues%3B%20described%20as%20a%20subunit%20of%20TFIIE%2C%20which%20is%20a%20basal%20transcription%20initiation%20factor%20of%20RNA%20Polymerase%20II%3B%20possibly%20an%20essential%20gene%2C%20disruptants%20not%20obtained%20by%20UAU1%20method"	802	1295	1158	1100	0	0	1147	1394	632	0	1090	0	1146	1274	1114	1119	937	1259	894	1117	1113	1079	1082	1114	809	2201	1261	0	1203	1107	928	0	1026	0	1170	1271	744	1301	1017	1015	0	693	938	1061
"C1_09870W_A"	"Ca22chr1A_C_albicans_SC5314"	2161357	2163096	"+"	1740	"C1_09870W_A"	"HCM1"	"%28orf19.4853%29%20Protein%20with%20forkhead%20domain%3B%20similar%20to%20S.%20cerevisiae%20Hcm1p%3B%20Hap43p-induced%20gene"	294	332	865	220	0	0	596	555	265	0	388	0	1032	349	425	166	364	226	322	1062	598	950	939	941	354	724	272	0	567	245	298	0	459	0	654	433	302	396	599	314	0	278	161	671
"C1_09880C_A"	"Ca22chr1A_C_albicans_SC5314"	2163426	2163878	"-"	453	"C1_09880C_A"	"BUD31"	"%28orf19.4855%29%20Bud31%20ortholog%3B%20not%20subject%20to%20mating-type%20regulation%2C%20in%20contrast%20to%20S.%20cerevisiae%20Bud31%20which%20has%20a%20role%20in%20specifying%20the%20bud%20site%3B%20Spider%20biofilm%20induced"	146	233	209	223	0	0	181	281	180	0	170	0	203	192	174	273	192	252	193	209	189	219	219	206	177	455	231	0	198	244	147	0	160	0	209	289	174	192	187	169	0	248	247	199
"C1_09890C_A"	"Ca22chr1A_C_albicans_SC5314"	2164157	2164251	"-"	95	"C1_09890C_A"	"tS%28CGA%291"	"%28tS%28CGA%291%29%20tRNA-Ser%2C%20predicted%20by%20tRNAscan-SE%3B%20CGA%20anticodon"	2	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	2	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	2	0	0	0	1	0	0
"C1_09900W_A"	"Ca22chr1A_C_albicans_SC5314"	2166008	2167423	"+"	1416	"C1_09900W_A"	"LIP3"	"%28orf19.4856%29%20Secreted%20lipase%3B%20gene%20family%20member%20whose%20members%20are%20expressed%20differentially%20in%20response%20to%20carbon%20source%20and%20infection%3B%20possible%20role%20in%20nutrition%20and%2For%20in%20creating%20an%20acidic%20microenvironment%3B%20flow%20model%20biofilm%20induced"	16	3	22	11	0	0	25	7	10	0	20	0	24	4	27	18	11	19	9	12	39	42	18	35	14	20	14	0	15	14	22	0	18	0	21	11	12	5	21	31	0	7	23	30
"C1_09910C_A"	"Ca22chr1A_C_albicans_SC5314"	2167566	2168384	"-"	819	"C1_09910C_A"	NA	"%28orf19.4857%29%20Protein%20with%20a%20dual-specificity%20phosphatase%20domain%3B%20Hap43-induced%20gene"	937	819	1139	356	0	0	1384	775	477	0	789	0	1066	737	842	491	715	559	674	991	1435	1204	1079	992	647	1176	543	0	1324	463	947	0	875	0	1287	772	553	775	1165	1006	0	584	333	1389
"C1_09920W_A"	"Ca22chr1A_C_albicans_SC5314"	2169696	2172581	"+"	2886	"C1_09920W_A"	"VPS41"	"%28orf19.4858%29%20Protein%20similar%20to%20S.%20cerevisiae%20Vps41p%2C%20which%20is%20involved%20in%20vacuole%20organization%20and%20biogenesis%3B%20transposon%20mutation%20affects%20filamentous%20growth%3B%20regulated%20by%20Gcn4p%3B%20induced%20in%20response%20to%20amino%20acid%20starvation%20%283-aminotriazole%20treatment%29"	376	558	540	429	0	0	735	568	444	0	406	0	661	544	435	372	415	395	441	648	680	579	603	606	426	946	275	0	681	429	418	0	402	0	725	541	445	502	593	427	0	436	451	741
"C1_09930W_A"	"Ca22chr1A_C_albicans_SC5314"	2172939	2173751	"+"	813	"C1_09930W_A"	NA	"%28orf19.4861%29%20Protein%20of%20unknown%20function%3B%20rat%20catheter%20biofilm%20repressed"	72	58	87	53	0	0	123	68	59	0	78	0	59	54	59	41	47	32	54	56	112	109	95	64	35	119	40	0	56	30	60	0	67	0	72	73	48	72	55	73	0	55	54	101
"C1_09940W_A"	"Ca22chr1A_C_albicans_SC5314"	2173813	2174097	"+"	285	"C1_09940W_A"	NA	"%28orf19.4861.1%29%20Protein%20of%20unknown%20function"	146	207	197	181	0	0	230	231	149	0	208	0	232	178	225	183	162	191	162	173	224	194	224	197	158	314	159	0	211	157	188	0	180	0	186	233	159	166	189	190	0	143	171	198
"C1_09950C_A"	"Ca22chr1A_C_albicans_SC5314"	2174079	2174675	"-"	597	"C1_09950C_A"	NA	"%28orf19.4862%29%20Putative%20integral%20membrane%20protein%3B%20S.%20cerevisiae%20ortholog%20Tvp23%20localizes%20to%20late%20Golgi%20vesicles%3B%20rat%20catheter%20biofilm%20induced"	552	614	594	509	0	0	674	582	472	0	599	0	622	562	652	467	527	535	501	618	618	660	571	589	504	971	529	0	681	461	584	0	634	0	648	604	493	599	534	584	0	482	439	648
"C1_09960W_A"	"Ca22chr1A_C_albicans_SC5314"	2174942	2175366	"+"	425	"C1_09960W_A"	"PET100"	"%28orf19.4862.2%29%20Chaperone%20that%20facilitates%20the%20assembly%20of%20cytochrome%20c%20oxidase%3B%20plasma%20membrane%20protein"	663	626	614	635	0	0	585	706	448	0	771	0	782	576	679	699	611	572	497	715	582	592	575	754	529	1147	611	0	851	618	615	0	729	0	803	680	500	557	687	723	0	528	643	512
"C1_09970C_A"	"Ca22chr1A_C_albicans_SC5314"	2175531	2178041	"-"	2511	"C1_09970C_A"	"PDC2"	"%28orf19.4863%29%20Homeodomain-like%20transcription%20factor%3B%20regulator%20of%20pyruvate%20decarboxylase%3B%20contains%20a%20putative%20C-terminal%20activation%20domain%2C%20Glu-%20and%20Pro-rich%3B%20complements%20glucose%20utilization%20defect%20of%20S.%20cerevisiae%20pdc2%20mutant"	539	559	619	401	0	0	764	631	373	0	548	0	535	508	559	343	418	431	404	528	797	644	608	521	404	852	384	0	671	394	568	0	540	0	731	534	409	542	590	574	0	379	330	853
"C1_09980C_A"	"Ca22chr1A_C_albicans_SC5314"	2178865	2179779	"-"	915	"C1_09980C_A"	NA	"%28orf19.4864%29%20Ortholog%28s%29%20have%20acylglycerol%20lipase%20activity%2C%20role%20in%20triglyceride%20metabolic%20process%20and%20lipid%20droplet%2C%20membrane%20localization"	340	511	676	378	0	0	875	742	416	0	474	0	802	512	447	289	651	279	554	788	762	795	706	793	590	1145	238	0	817	412	375	0	388	0	802	718	439	448	732	332	0	557	452	682
"C1_09990W_A"	"Ca22chr1A_C_albicans_SC5314"	2180946	2182802	"+"	1857	"C1_09990W_A"	"SAC1"	"%28orf19.4865%29%20Putative%20phosphatidylinositol%20phosphate%20%28PtdInsP%29%20phosphatase%2C%20involved%20in%20cell%20wall%20integrity%20and%20morphogenesis"	880	793	978	773	0	0	1086	967	1376	0	879	0	1134	699	999	712	1847	658	1473	969	977	1009	1000	1070	1648	1523	703	0	927	780	1015	0	1012	0	1083	865	1375	757	1093	886	0	1510	779	1124
"C1_10000C_A"	"Ca22chr1A_C_albicans_SC5314"	2183212	2185005	"-"	1794	"C1_10000C_A"	"CPP1"	"%28orf19.4866%29%20VH1%20family%20MAPK%20phosphatase%3B%20regulates%20Cst20-Hst7-Cek1-Cph1%20filamentation%20pathway%3B%20represses%20yeast-hyphal%20switch%3B%20required%20for%20virulence%20in%20mice%3B%20yeast-enriched%3B%20induced%20by%20alpha%20pheromone%20in%20SpiderM%20medium%3B%20Spider%20biofilm%20induced"	1435	2212	1700	1225	0	0	1732	1758	834	0	1479	0	1349	1904	1534	1267	1393	1362	1222	1272	1731	1640	1670	1288	1200	2608	1518	0	1362	1339	1558	0	1664	0	1464	1512	920	2046	1334	1694	0	993	1100	1970
"C1_10010C_A"	"Ca22chr1A_C_albicans_SC5314"	2189027	2192563	"-"	3537	"C1_10010C_A"	"SWE1"	"%28orf19.4867%29%20Putative%20protein%20kinase%20with%20a%20role%20in%20control%20of%20growth%20and%20morphogenesis%2C%20required%20for%20full%20virulence%3B%20mutant%20cells%20are%20small%2C%20rounded%2C%20and%20sometimes%20binucleate%3B%20not%20required%20for%20filamentous%20growth%3B%20mutant%20is%20hypersensitive%20to%20caspofungin"	871	544	744	577	0	0	741	706	553	0	904	0	927	448	960	634	723	612	649	955	806	953	827	897	664	1052	689	0	684	587	811	0	972	0	751	627	567	528	667	1001	0	578	543	838
"C1_10020W_A"	"Ca22chr1A_C_albicans_SC5314"	2195272	2196825	"+"	1554	"C1_10020W_A"	"SFU1"	"%28orf19.4869%29%20GATA-type%20transcription%20factor%3B%20regulator%20of%20iron-responsive%20genes%3B%20represses%20iron%20utilization%20genes%20if%20iron%20is%20present%3B%20Hap43-repressed%3B%20promotes%20gastrointestinal%20commensalism%20in%20mice%3B%20Spider%20biofilm%20induced"	1022	677	1111	588	0	0	1608	658	344	0	941	0	980	632	884	741	759	968	690	1021	1775	1125	1058	979	769	1022	974	0	1268	651	1234	0	872	0	1258	561	443	736	1012	1199	0	439	557	1839
"C1_10030W_A"	"Ca22chr1A_C_albicans_SC5314"	2196988	2198682	"+"	1695	"C1_10030W_A"	"DBP3"	"%28orf19.4870%29%20Putative%20ATP-dependent%20DEAD-box%20RNA%20helicase%3B%20Hap43-induced%3B%20repressed%20by%20prostaglandins%3B%20Spider%20biofilm%20induced"	3037	2464	2646	2199	0	0	3288	2970	3511	0	2244	0	2559	2085	2122	2095	4819	2286	4729	2553	3406	2659	2774	2144	4025	4541	2473	0	2341	2357	3225	0	2434	0	2526	2619	3831	2207	2421	3464	2	3952	2086	3537
"C1_10040W_A"	"Ca22chr1A_C_albicans_SC5314"	2199783	2201525	"+"	1743	"C1_10040W_A"	"ERO1"	"%28orf19.4871%29%20Ortholog%20of%20S.%20cerevisiae%20Ero1%3B%20role%20in%20formation%20of%20disulfide%20bonds%20in%20the%20endoplasmic%20reticulum%3B%20fluconazole-induced%3B%20induced%20by%20Mnl1%20under%20weak%20acid%20stress%3B%20Spider%20biofilm%20induced"	3020	3626	2393	3016	0	1	2475	3128	1904	0	2668	0	1992	3352	2726	3348	2702	3053	2627	1987	2700	2428	2483	1873	2379	4734	3382	0	1837	3140	2976	0	3222	0	1896	2714	2084	3577	1799	3242	0	2210	2787	2762
"C1_10050W_A"	"Ca22chr1A_C_albicans_SC5314"	2202127	2202978	"+"	852	"C1_10050W_A"	NA	"%28orf19.4872%29%20Protein%20of%20unknown%20function%3B%20induced%20by%20Mnl1%20under%20weak%20acid%20stress%3B%20Hap43-induced%3B%20mutant%20is%20viable"	18	10	31	22	0	0	35	10	8	0	17	0	10	17	15	13	24	16	12	18	29	22	36	8	18	13	24	0	5	18	22	0	24	0	12	12	10	17	7	31	0	14	10	39
"C1_10060C_A"	"Ca22chr1A_C_albicans_SC5314"	2203460	2203972	"-"	513	"C1_10060C_A"	NA	"%28orf19.4873%29%20Protein%20of%20unknown%20function%3B%20transcript%20regulated%20by%20white-opaque%20switch%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced"	416	332	87	1072	0	0	188	370	99	0	243	0	187	275	243	888	144	458	134	159	197	122	118	147	153	638	440	0	352	1040	387	0	223	0	292	447	72	342	247	341	0	116	1819	157
"C1_10070C_A"	"Ca22chr1A_C_albicans_SC5314"	2205458	2207278	"-"	1821	"C1_10070C_A"	"MNN23"	"%28orf19.4874%29%20Alpha-1%2C2-mannosyltransferase%3B%20mutants%20hypersensitive%20to%20toxic%20ergosterol%20analog%2C%20amphotericin%20B%2C%20calcofluor%20white%2C%20growth%20at%2042%20degrees%20and%20have%20decreased%20cell%20wall%20mannan%3B%20flow%20model%20biofilm%20induced"	1043	1289	1386	1139	0	0	1443	1471	1247	0	1133	0	1866	1128	1200	1081	1408	1170	1297	1784	1298	1546	1539	1501	1288	2114	1197	0	1409	1197	1019	0	1332	0	1623	1370	1293	1252	1470	1053	0	1472	1088	1464
"C1_10080W_A"	"Ca22chr1A_C_albicans_SC5314"	2208542	2209030	"+"	489	"C1_10080W_A"	NA	"%28orf19.4875%29%20Ortholog%28s%29%20have%20role%20in%20mRNA%20splicing%2C%20via%20spliceosome%20and%20U2-type%20spliceosomal%20complex%20localization"	139	286	184	221	0	0	138	367	140	0	189	0	182	291	161	221	155	230	141	209	154	196	198	180	147	456	244	0	199	205	127	0	171	0	199	286	176	283	150	156	0	198	167	142
"C1_10090C_A"	"Ca22chr1A_C_albicans_SC5314"	2209373	2211919	"-"	2547	"C1_10090C_A"	NA	"%28orf19.4878%29%20Protein%20of%20unknown%20function%3B%20Hap43-repressed%3B%20rat%20catheter%20biofilm%20repressed"	815	1102	1163	802	0	0	1420	1273	800	0	1168	0	1421	1024	1227	670	1136	682	1091	1430	1509	1322	1190	1458	1159	1720	650	0	1595	801	903	0	1121	0	1611	1068	1070	997	1401	763	0	1013	745	1453
"C1_10100C_A"	"Ca22chr1A_C_albicans_SC5314"	2212261	2212744	"-"	484	"C1_10100C_A"	"NTF2"	"%28orf19.4879.2%29%20Putative%20nuclear%20envelope%20protein%3B%20regulated%20by%20Ssn6%3B%20rat%20catheter%20biofilm%20repressed"	1306	1510	2013	1811	0	0	2150	2078	2526	0	1933	0	2701	1244	1726	1421	2891	1200	2684	2544	2142	2251	2383	2532	2707	3269	1201	0	2691	1661	1479	0	1640	0	2533	2056	2705	1389	2373	1406	0	2795	2049	1973
"C1_10110W_A"	"Ca22chr1A_C_albicans_SC5314"	2213970	2216138	"+"	2169	"C1_10110W_A"	NA	"%28orf19.4880%29%20Protein%20of%20unknown%20function%3B%20flow%20model%20biofilm%20induced"	144	61	146	49	0	0	170	38	115	0	101	0	148	46	128	66	171	98	190	125	138	117	143	127	175	57	83	0	139	78	169	0	113	0	129	40	141	43	106	153	0	150	44	130
"C1_10120C_A"	"Ca22chr1A_C_albicans_SC5314"	2216358	2217212	"-"	855	"C1_10120C_A"	NA	"%28orf19.4882%29%20TFIIE%20small%20subunit%3B%20involved%20in%20RNA%20polymerase%20II%20transcription%20initiation%3B%20Spider%20biofilm%20induced"	1511	1761	1272	1837	0	0	1551	1708	908	0	1861	0	1310	1684	1743	1975	1180	2071	1126	1296	1583	1468	1290	1270	1015	2581	2146	0	1357	1831	1594	0	1665	0	1545	1445	1051	1678	1311	1564	0	1064	1582	1484
"C1_10130W_A"	"Ca22chr1A_C_albicans_SC5314"	2217638	2217738	"+"	101	"C1_10130W_A"	NA	"%28snR10a%29%20H%2FACA%20box%20small%20nucleolar%20RNA%20%28snoRNA%29"	39	46	14	70	0	0	35	55	11	0	37	0	24	74	32	88	15	65	14	12	35	26	16	7	11	114	44	0	31	72	36	0	30	0	24	62	11	45	12	45	0	20	60	35
"C1_10140C_A"	"Ca22chr1A_C_albicans_SC5314"	2217841	2220072	"-"	2232	"C1_10140C_A"	NA	"%28orf19.4883%29%20Protein%20of%20unknown%20function%3B%20S.%20cerevisiae%20ortholog%20Cos111%20confers%20resistance%20to%20the%20antifungal%20drug%20ciclopirox%20olamine%3B%20constitutive%20expression%20independent%20of%20MTL%20or%20white-opaque%20status%3B%20Spider%20biofilm%20induced"	3279	2255	1146	1769	0	0	2141	1235	168	0	1676	0	1357	1961	1995	3114	393	3493	401	1302	2337	1156	1178	1223	404	2110	3642	0	1606	2199	2957	0	2128	0	1716	1181	204	2150	1515	3500	0	201	1149	2036
"C1_10150W_A"	"Ca22chr1A_C_albicans_SC5314"	2230403	2232760	"+"	2358	"C1_10150W_A"	"WOR1"	"%28orf19.4884%29%20Transcription%20factor%20%28%22master%20switch%22%29%20of%20white-opaque%20phenotypic%20switching%3B%20required%20to%20establish%20and%20maintain%20the%20opaque%20state%3B%20opaque-specific%2C%20nuclear%3B%20regulates%20its%20own%20expression%3B%20suggested%20role%20in%20regulation%20of%20adhesion%20factors"	28	9	1	25	0	0	3	1	9	0	23	0	2	4	9	45	3	32	6	1	4	2	4	2	4	7	31	0	1	20	28	0	17	0	0	0	4	2	2	28	0	6	11	0
"C1_10160W_A"	"Ca22chr1A_C_albicans_SC5314"	2236246	2237169	"+"	924	"C1_10160W_A"	"MIR1"	"%28orf19.4885%29%20Putative%20mitochondrial%20phosphate%20transporter%3B%20caspofungin%20repressed%3B%20expression%20is%20increased%20in%20a%20fluconazole-resistant%20isolate%3B%20induced%20upon%20adherence%20to%20polystyrene"	4324	5722	4052	7893	0	0	4448	7413	3589	0	3932	0	4102	5410	4044	6674	4622	6525	4378	4124	4694	4034	4064	3566	4161	11402	6670	0	3533	8064	5138	0	4351	0	3954	6262	4023	5519	3525	4760	0	3766	8570	4672
"C1_10170W_A"	"Ca22chr1A_C_albicans_SC5314"	2239042	2239758	"+"	717	"C1_10170W_A"	NA	"%28orf19.4886%29%20Putative%20adhesin-like%20protein%3B%20Hap43-repressed%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced"	95	3	28	9	0	0	29	9	2	0	106	0	35	5	104	11	1	11	3	16	44	31	38	20	1	15	10	0	39	14	120	0	121	0	38	7	5	9	36	83	0	3	20	41
"C1_10180C_A"	"Ca22chr1A_C_albicans_SC5314"	2240080	2242266	"-"	2187	"C1_10180C_A"	"ECM21"	"%28orf19.4887%29%20Predicted%20regulator%20of%20endcytosis%20of%20plasma%20membrane%20proteins%3B%20fluconazole%20induced%2C%20alkaline%20induced%20by%20Rim101%3B%20repressed%20by%20caspofungin%20and%20in%20azole-resistant%20strain%20overexpressing%20MDR1%3B%20flow%20model%2C%20rat%20catheter%20and%20Spider%20biofilm%20induced"	3029	1963	844	4156	0	0	896	1012	299	0	3933	0	413	1857	3979	5171	420	4673	350	370	886	1331	912	443	338	1525	4804	0	594	3807	3010	0	3374	0	687	1107	291	1755	611	3608	0	357	4098	819
"C1_10190W_A"	"Ca22chr1A_C_albicans_SC5314"	2245299	2246132	"+"	834	"C1_10190W_A"	NA	"%28orf19.4888%29%20Has%20domain%28s%29%20with%20predicted%20nucleic%20acid%20binding%2C%20nucleotide%20binding%20activity"	1015	1455	605	1709	0	0	643	1066	503	0	1174	0	531	1445	1134	2195	631	2057	641	489	594	700	575	502	558	1708	2147	0	544	1624	926	0	979	0	518	1068	559	1383	464	1052	0	557	1471	626
"C1_10200C_A"	"Ca22chr1A_C_albicans_SC5314"	2246376	2248130	"-"	1755	"C1_10200C_A"	NA	"%28orf19.4889%29%20Predicted%20MFS%20family%20membrane%20transporter%2C%20member%20of%20the%20drug%3Aproton%20antiporter%20%2812%20spanner%29%20%28DHA1%29%20family%3B%20Spider%20biofilm%20induced"	1461	1227	1452	1055	0	0	1839	1347	1179	0	1131	0	1175	1188	1072	1296	1578	1339	1416	1161	1964	1465	1466	1091	1394	2170	1458	0	1012	1307	1551	0	1250	0	1268	1173	1312	1269	1270	1589	0	1356	944	1971
"C1_10210C_A"	"Ca22chr1A_C_albicans_SC5314"	2249405	2252335	"-"	2931	"C1_10210C_A"	"CLA4"	"%28orf19.4890%29%20Ste20p%20family%20Ser%2FThr%20kinase%20required%20for%20wild-type%20filamentous%20growth%2C%20organ%20colonization%20and%20virulence%20in%20mouse%20systemic%20infection%3B%20role%20in%20chlamydospore%20formation%3B%20functional%20homolog%20of%20S.%20cerevisiae%20Cla4p%3B%20mutant%20caspofungin%20sensitive"	2228	1832	2033	1590	0	0	2481	2086	1950	0	1762	0	2594	1592	1826	1330	2537	1404	2501	2553	2612	1976	2257	2202	2351	3307	1461	0	2684	1698	2310	0	1986	0	3021	1828	2048	1684	2429	2449	0	2244	1465	2873
"C1_10220C_A"	"Ca22chr1A_C_albicans_SC5314"	2255500	2256717	"-"	1218	"C1_10220C_A"	"TPK1"	"%28orf19.4892%29%20cAMP-dependent%20protein%20kinase%20catalytic%20subunit%3B%20Tpk2%20isoform%3B%20involved%20in%20regulation%20of%20filamentation%2C%20phenotypic%20switching%20and%20mating%3B%20WT%20nuclear%20localization%20requires%20Bcy1%3B%20produced%20during%20stationary%2C%20not%20exponential%20growth"	2122	2065	1261	2434	0	0	1362	1742	1605	0	1871	0	1026	1908	1796	3061	2266	2957	2274	963	1437	1380	1273	981	1858	2645	3445	0	1009	2863	2018	0	2091	0	1094	1514	1725	2113	1101	2374	0	1807	2194	1455
"C1_10230C_A"	"Ca22chr1A_C_albicans_SC5314"	2259255	2263580	"-"	4326	"C1_10230C_A"	NA	"%28orf19.4893%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_09630%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_805080%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_136811%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2B12364g"	1031	1252	1006	1154	0	0	1117	1114	520	0	1348	0	885	1135	1307	1036	605	1090	526	905	1075	1072	885	856	590	1744	1057	0	993	1059	1137	0	1292	0	1081	1006	545	1098	1011	1064	0	628	1015	974
"C1_10240C_A"	"Ca22chr1A_C_albicans_SC5314"	2263977	2264711	"-"	735	"C1_10240C_A"	NA	"%28orf19.4894%29%20Protein%20with%20similarity%20to%20S.%20cerevisiae%20Yer010cp%2C%20a%20protein%20of%20unknown%20function%20belonging%20to%20the%20prokaryotic%20RraA%20family%3B%20repressed%20by%20benomyl%3B%20Hap43-induced%3B%20Spider%20biofilm%20induced"	568	704	339	616	0	0	434	997	94	0	529	0	171	753	479	522	190	424	189	176	422	324	282	209	190	1778	408	0	234	609	573	0	370	0	266	1013	94	652	212	564	0	123	572	328
"C1_10250C_A"	"Ca22chr1A_C_albicans_SC5314"	2264987	2265808	"-"	822	"C1_10250C_A"	NA	"%28orf19.4895%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_09650%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_805060%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_95780%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2B12320g"	387	404	335	355	0	0	413	527	302	0	362	0	325	412	327	321	396	380	401	339	481	385	368	301	319	808	366	0	342	391	340	0	356	0	331	436	377	410	331	411	0	330	355	369
"C1_10260C_A"	"Ca22chr1A_C_albicans_SC5314"	2266205	2266927	"-"	723	"C1_10260C_A"	"RPA34"	"%28orf19.4896%29%20Putative%20RNA%20polymerase%20I%20subunit%3B%20rat%20catheter%20biofilm%20induced"	857	933	828	961	0	0	973	1041	1432	0	797	0	885	862	813	789	1769	862	1652	996	1157	921	945	847	1388	1666	906	0	815	939	933	0	907	0	901	1074	1663	865	781	972	0	1710	925	1055
"C1_10270C_A"	"Ca22chr1A_C_albicans_SC5314"	2267309	2268271	"-"	963	"C1_10270C_A"	"SFH5"	"%28orf19.4897%29%20Putative%20phosphatidylinositol%20transporter%3B%20rat%20catheter%20and%20Spider%20biofilm%20repressed"	707	843	1059	1204	0	0	1375	1432	1874	0	822	0	1218	829	844	763	2536	638	2453	1116	1252	1138	1099	1146	2295	2117	597	0	1502	997	693	0	726	0	1392	1224	2188	742	1255	741	0	2225	1300	1197
"C1_10280C_A"	"Ca22chr1A_C_albicans_SC5314"	2268532	2269221	"-"	690	"C1_10280C_A"	NA	"%28orf19.4898%29%20Putative%20protein%20of%20unknown%20function%3B%20induced%20by%20prostaglandins"	464	822	1283	1479	0	0	1176	1507	461	0	1016	0	1869	787	946	928	685	753	601	1617	1138	1486	1360	1898	668	2510	756	0	1771	1321	548	0	831	0	1616	1567	536	817	1358	512	0	568	1455	1069
"C1_10290W_A"	"Ca22chr1A_C_albicans_SC5314"	2271400	2274240	"+"	2841	"C1_10290W_A"	"GCA1"	"%28orf19.4899%29%20Extracellular%2Fplasma%20membrane-associated%20glucoamylase%3B%20expressed%20in%20rat%20oral%20infection%3B%20regulated%20by%20carbohydrates%2C%20pH%2C%20galactose%3B%20promotes%20biofilm%20matrix%20formation%3B%20flow%20model%20biofilm%20induced%3B%20Bcr1%20repressed%20in%20RPMI%20a%2Fa%20biofilms"	180	471	599	657	0	0	325	651	353	0	387	0	4535	396	352	395	1536	329	1778	3873	313	687	619	4675	1683	967	331	0	1720	574	225	0	304	0	1828	500	421	367	1782	205	0	383	567	236
"C1_10300W_A"	"Ca22chr1A_C_albicans_SC5314"	2276260	2278746	"+"	2487	"C1_10300W_A"	"MNN12"	"%28orf19.4900%29%20Predicted%20alpha-1%2C3-mannosyltransferase%20activity%20with%20a%20role%20in%20protein%20glycosylation"	2935	5294	3721	4581	0	0	4079	4436	3021	0	3695	0	2809	4896	3740	4332	3487	3793	3004	2626	3809	3860	4014	2679	3112	6367	4078	0	3518	4483	3197	0	3770	0	3420	3915	3000	4971	3050	3090	0	3376	4306	4167
"C1_10310W_A"	"Ca22chr1A_C_albicans_SC5314"	2279973	2281007	"+"	1035	"C1_10310W_A"	NA	"%28orf19.4901%29%20Predicted%20methyltransferase%3B%20Spider%20biofilm%20induced"	311	324	192	267	0	0	189	268	67	0	423	0	104	239	405	295	80	233	63	99	210	215	198	123	75	456	275	0	150	287	339	0	351	0	141	293	65	247	148	312	0	62	279	165
"C1_10320W_A"	"Ca22chr1A_C_albicans_SC5314"	2282222	2283286	"+"	1065	"C1_10320W_A"	NA	"%28orf19.4903%29%20Ortholog%28s%29%20have%20N-acetylglucosaminylphosphatidylinositol%20deacetylase%20activity"	562	531	470	249	0	0	534	491	609	0	545	0	501	441	561	373	851	433	669	465	524	411	535	514	730	696	377	0	446	312	555	0	567	0	536	429	582	517	561	542	0	748	258	509
"C1_10330C_A"	"Ca22chr1A_C_albicans_SC5314"	2283308	2284648	"-"	1341	"C1_10330C_A"	NA	"%28orf19.4904%29%20Ortholog%28s%29%20have%20nucleosome%20binding%20activity%2C%20role%20in%20chromatin%20silencing%20at%20telomere%2C%20histone%20exchange%20and%20Swr1%20complex%2C%20cytoplasm%2C%20nuclear%20chromosome%2C%20telomeric%20region%2C%20nuclear%20periphery%20localization"	424	585	368	430	0	0	350	560	304	0	401	0	342	546	444	472	364	477	364	329	369	387	394	370	302	878	537	0	317	389	354	0	487	0	385	512	314	506	334	398	0	403	400	303
