Geneid	Chr	Start	End	Strand	Length	Name	Gene	Note	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D9.bam
C1_05330C_A	Ca22chr1A_C_albicans_SC5314	1118242	1119618	-	1377	C1_05330C_A	NA	%28orf19.432%29%20Predicted%20SCF%20ubiquitin%20ligase%20complex%20protein%3B%20Spider%20biofilm%20induced%3B%20rat%20catheter%20biofilm%20induced	0	0	0	332	342	356	371	453	429	314	325	349	423	413	417	0	0	356	407	397	415	445	573	504	502	442	437	469	433	451	0	0	0	599	567	489	658	1126	678	615	594	629	685	670	650
C1_05340C_A	Ca22chr1A_C_albicans_SC5314	1119919	1122246	-	2328	C1_05340C_A	ZCF2	%28orf19.431%29%20Zn%28II%292Cys6%20transcription%20factor%2C%20required%20for%20adaptation%20to%20reactive%20sulfur%20species%3B%20regulates%20sulfite%20tolerance%20through%20expression%20of%20SSU1%20and%20CDG1%3B%20Hap43-repressed%3B%20Spider%20biofilm%20induced	0	0	0	523	509	461	418	509	458	440	428	450	456	501	435	0	0	461	968	1162	1217	547	744	729	1156	1127	1237	696	637	594	0	0	0	3443	3990	2831	1624	2761	1806	3409	2943	2804	1656	1756	1624
C1_05350W_A	Ca22chr1A_C_albicans_SC5314	1123169	1123828	+	660	C1_05350W_A	YPT53	%28orf19.430%29%20Rab-family%20GTPase%20involved%20in%20vacuolar%20trafficking%2C%20colocolizes%20with%20Vps1p%20and%20Ypt52p%20in%20late%20endosome%3B%20Hap43-repressed%20gene	0	0	0	135	113	130	180	203	235	154	120	149	194	164	190	0	0	130	244	253	290	246	258	264	336	309	316	293	239	225	0	0	0	863	929	692	555	763	512	634	620	557	489	533	441
C1_05360C_A	Ca22chr1A_C_albicans_SC5314	1123871	1125682	-	1812	C1_05360C_A	NA	%28orf19.429%29%20Putative%20non-canonical%20poly%28A%29%20polymerase%3B%20repressed%20by%20nitric%20oxide%3B%20Spider%20biofilm%20induced	0	0	0	1312	1196	1075	935	1010	944	1276	1134	1281	1101	1087	1041	0	0	1075	1010	1085	1092	1159	1155	1189	1017	1129	1039	1229	1193	1196	0	0	0	1192	1251	990	1314	2208	1560	1314	1181	1310	1449	1335	1315
C1_05370C_A	Ca22chr1A_C_albicans_SC5314	1125926	1128109	-	2184	C1_05370C_A	NA	%28orf19.428%29%20Putative%20serine%2Fthreonine%20kinase%3B%20induced%20during%20planktonic%20growth%3B%20rat%20catheter%20biofilm%20repressed	0	0	0	296	270	215	280	353	345	253	244	269	299	307	328	0	0	215	592	518	588	344	310	323	907	698	825	408	376	348	0	0	0	424	461	390	409	684	449	481	473	554	473	415	406
C1_05380C_A	Ca22chr1A_C_albicans_SC5314	1128387	1133384	-	4998	C1_05380C_A	NA	%28orf19.427%29%20Ortholog%28s%29%20have%20telomeric%20DNA%20binding%20activity	2	0	0	732	712	726	889	953	980	707	698	715	1048	1105	939	0	0	726	537	530	529	1010	1052	1084	605	543	570	1093	981	1149	0	0	0	569	549	507	857	1486	976	454	466	527	893	725	736
C1_05390C_A	Ca22chr1A_C_albicans_SC5314	1133457	1135511	-	2055	C1_05390C_A	NA	%28orf19.426%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_05120%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_107740%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_136277%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2A02266g	0	0	0	821	750	799	722	794	847	907	765	942	864	825	796	0	0	799	749	732	733	808	772	849	888	992	840	977	888	903	1	0	0	644	637	582	830	1325	869	665	646	742	980	787	789
C1_05400C_A	Ca22chr1A_C_albicans_SC5314	1135748	1136341	-	594	C1_05400C_A	NA	%28orf19.425%29%20Ortholog%28s%29%20have%20mitochondrial%20large%20ribosomal%20subunit%20localization	0	0	0	126	94	112	123	136	133	130	129	137	107	139	100	0	0	112	102	95	102	116	146	132	168	141	126	159	138	134	0	0	0	144	148	144	187	305	203	160	132	145	148	153	169
C1_05410C_A	Ca22chr1A_C_albicans_SC5314	1136528	1137082	-	555	C1_05410C_A	TRP99	%28orf19.424%29%20Putative%20thioredoxin%20peroxidase%2Falkyl%20hydroperoxide%20reductase%3B%20induced%20in%20low%20iron%3B%20regulated%20by%20Gcn4%3B%20induced%20in%20response%20to%20amino%20acid%20starvation%20%283-AT%20treatment%29	0	0	0	611	608	589	738	770	824	420	360	452	753	866	846	0	0	589	506	565	498	702	778	567	691	599	650	864	753	831	0	0	0	489	430	557	673	1138	643	317	319	285	447	395	474
C1_05420W_A	Ca22chr1A_C_albicans_SC5314	1137313	1137870	+	558	C1_05420W_A	NA	%28orf19.423%29%20Ortholog%28s%29%20have%20enzyme%20activator%20activity%2C%20mRNA%20binding%20activity%2C%20role%20in%20deadenylation-dependent%20decapping%20of%20nuclear-transcribed%20mRNA%20and%20Dcp1-Dcp2%20complex%2C%20P-body%2C%20cytoplasmic%20side%20of%20membrane%2C%20nucleus%20localization	0	0	0	334	316	297	322	318	315	270	280	323	241	304	272	0	0	297	384	384	418	363	369	318	404	324	370	304	279	324	0	0	0	262	305	260	287	441	258	327	382	344	324	292	321
C1_05430W_A	Ca22chr1A_C_albicans_SC5314	1138277	1140532	+	2256	C1_05430W_A	SPT20	%28orf19.422%29%20Putative%20transcription%20factor%3B%20downregulated%20upon%20adherence%20to%20polystyrene%3B%20flucytosine%20repressed	0	0	0	633	617	584	564	709	578	490	410	546	479	540	544	0	0	584	646	712	691	704	745	718	794	716	794	606	572	510	0	0	0	421	457	358	501	789	496	691	547	568	606	665	612
C1_05440C_A	Ca22chr1A_C_albicans_SC5314	1141075	1142832	-	1758	C1_05440C_A	NA	%28orf19.419%29%20Protein%20of%20unknown%20function%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced	0	0	0	139	119	137	1075	1220	1341	108	84	97	556	595	625	0	0	137	943	1131	1113	1156	1064	955	1525	1159	1327	879	646	681	0	0	0	1030	1022	1022	895	1383	1011	1218	1126	1159	1179	1100	971
C1_05450W_A	Ca22chr1A_C_albicans_SC5314	1142087	1142581	+	495	C1_05450W_A	NA	%28orf19.420%29%20Protein%20of%20unknown%20function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_05460W_A	Ca22chr1A_C_albicans_SC5314	1143981	1148279	+	4299	C1_05460W_A	KOG1	%28orf19.418%29%20Putative%20TORC1%20subunit%3B%20heterozygous%20null%20mutant%20displays%20sensitivity%20to%20rapamycin%3B%20likely%20to%20be%20essential%20for%20growth%2C%20based%20on%20an%20insertional%20mutagenesis%20strategy	0	0	0	804	756	799	1222	1194	1237	737	636	701	1070	1149	1106	0	0	799	1243	1336	1414	1402	1451	1372	1509	1356	1503	1377	1303	1260	0	0	0	1270	1390	1080	1148	1921	1299	1437	1289	1455	1425	1322	1300
C1_05470W_A	Ca22chr1A_C_albicans_SC5314	1149114	1150163	+	1050	C1_05470W_A	MTM1	%28orf19.417%29%20Ortholog%28s%29%20have%20pyridoxal%20phosphate%20binding%20activity%2C%20role%20in%20cellular%20iron%20ion%20homeostasis%2C%20pyridoxal%20phosphate%20transport%20and%20mitochondrion%20localization	0	0	0	900	873	854	823	976	958	686	630	764	785	753	804	0	0	854	1009	1043	1132	823	860	911	916	1107	1016	933	854	888	0	0	0	929	979	941	887	1720	1092	880	939	867	986	917	847
C1_05480C_A	Ca22chr1A_C_albicans_SC5314	1150297	1151418	-	1122	C1_05480C_A	NA	%28orf19.416%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_05200%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_107660%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20cten_CGOB_00159%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2E07854g	0	0	0	34	27	26	59	56	46	40	25	41	50	43	66	0	0	26	37	37	31	62	91	89	35	53	54	71	73	71	0	0	0	41	18	36	79	103	53	17	21	24	47	51	43
C1_05490C_A	Ca22chr1A_C_albicans_SC5314	1151708	1152454	-	747	C1_05490C_A	NA	%28orf19.415%29%20Putative%20protein%20of%20unknown%20function%3B%20Hap43p-repressed%20gene	0	0	0	747	762	765	1083	1096	1178	699	660	755	1150	1139	1130	0	0	765	748	814	791	1080	1155	1027	1010	901	927	1135	1058	1089	0	0	0	772	781	879	869	1547	949	720	751	743	798	720	786
C1_05500W_A	Ca22chr1A_C_albicans_SC5314	1152769	1155042	+	2274	C1_05500W_A	RSM22	%28orf19.414%29%20Predicted%20mitochondrial%20small%20ribosomal%20subunit%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced	0	0	0	1907	1935	1746	1282	1272	1265	1700	1611	1825	1565	1357	1313	1	0	1746	1514	1473	1580	1488	1526	1557	1279	1377	1207	1578	1312	1410	0	0	0	1234	1336	1117	1098	2044	1291	1362	1064	1212	1175	1174	1065
C1_05510C_A	Ca22chr1A_C_albicans_SC5314	1155542	1155790	-	249	C1_05510C_A	RPS27A	%28orf19.413.1%29%20Ribosomal%20protein%20S27%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced	0	0	0	209	235	214	303	330	268	151	131	198	295	284	256	0	0	214	601	524	672	546	578	541	579	613	513	482	471	473	0	0	0	691	749	626	749	1311	829	762	802	661	929	897	852
C1_05520W_A	Ca22chr1A_C_albicans_SC5314	1158880	1160955	+	2076	C1_05520W_A	NA	%28orf19.413%29%20Protein%20of%20unknown%20function%3B%20induced%20by%20Sfu1%3B%20Spider%20biofilm%20induced	0	0	0	208	199	193	305	294	290	308	320	334	525	564	527	0	0	193	241	254	221	379	345	394	434	434	433	424	393	426	0	0	0	832	740	991	767	1247	800	687	730	681	791	758	670
C1_05530C_A	Ca22chr1A_C_albicans_SC5314	1161281	1162890	-	1610	C1_05530C_A	SSH1	%28orf19.412%29%20Protein%20with%20a%20role%20in%20protein%20translocation%20across%20membranes	0	0	0	2765	2410	2611	1800	1849	1508	2072	2193	2505	1694	1992	1733	0	0	2611	1528	1869	1550	2085	1951	2269	1409	1540	1359	1726	1883	1934	0	0	0	1218	1239	1200	1920	2965	1949	1103	1026	1032	1466	1474	1365
C1_05540C_A	Ca22chr1A_C_albicans_SC5314	1163603	1164622	-	1020	C1_05540C_A	NA	%28orf19.411%29%20Protein%20similar%20to%20GTPase%20regulators%3B%20induced%20in%20low%20iron%3B%20transcript%20activated%20by%20Mnl1%20under%20weak%20acid%20stress%3B%20Hap43-%2C%20Sfu1-%20and%20Sef1-regulated%3B%20flow%20model%20biofilm%20induced%2C%20Spider%20biofilm%20induced	0	0	0	817	788	779	2125	2506	2116	689	654	802	1461	1432	1499	0	0	779	5095	5326	5770	2711	2743	2799	6535	7478	6327	3688	2866	3125	0	0	0	5177	4774	4301	4845	7819	5051	6472	6797	5973	5755	5416	5719
C1_05550C_A	Ca22chr1A_C_albicans_SC5314	1166517	1166614	-	98	C1_05550C_A	NA	%28snR60%29%20C%2FD%20box%20small%20nucleolar%20RNA%20%28snoRNA%29	0	0	0	0	2	1	11	16	9	2	0	3	3	3	1	0	0	1	15	14	16	7	18	13	27	25	10	5	6	5	0	0	0	17	8	17	6	13	7	17	16	10	6	9	8
C1_05560W_A	Ca22chr1A_C_albicans_SC5314	1166877	1167580	+	704	C1_05560W_A	RIB4	%28orf19.410.3%29%20Lumazine%20synthase%20%286%2C7-dimethyl-8-ribityllumazine%20synthase%2C%20DMRL%20synthase%29%3B%20catalyzes%20the%20penultimate%20step%20in%20the%20synthesis%20of%20riboflavin%3B%20Hap43-induced%3B%20rat%20catheter%20and%20Spider%20biofilm%20repressed	0	0	0	2341	2234	2091	1675	1808	1695	1683	1509	1753	1522	1600	1542	0	0	2091	1163	1294	1199	1434	1460	1163	1536	1596	1587	1518	1368	1418	0	0	0	582	488	599	1359	2308	1251	353	484	375	782	673	768
C1_05570W_A	Ca22chr1A_C_albicans_SC5314	1167998	1168103	+	106	C1_05570W_A	tN%28GUU%292	%28tN%28GUU%292%29%20tRNA-Asn%2C%20predicted%20by%20tRNAscan-SE%3B%20GUU%20anticodon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
C1_05580W_A	Ca22chr1A_C_albicans_SC5314	1168190	1168292	+	103	C1_05580W_A	tN%28GUU%291	%28tN%28GUU%291%29%20tRNA-Asn%2C%20predicted%20by%20tRNAscan-SE%3B%20GUU%20anticodon	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
C1_05590W_A	Ca22chr1A_C_albicans_SC5314	1168844	1168916	+	73	C1_05590W_A	tT%28AGU%291	%28tT%28AGU%291%29%20tRNA-Thr%2C%20predicted%20by%20tRNAscan-SE%3B%20AGU%20anticodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
C1_05600W_A	Ca22chr1A_C_albicans_SC5314	1169206	1173921	+	4716	C1_05600W_A	GSL1	%28orf19.2495%29%20Beta-1%2C3-glucan%20synthase%20subunit%3B%2010%20predicted%20transmembrane%20regions%3B%20caspofungin%20induced%3B%20repressed%20by%20yeast-to-hypha%20transition%3B%20young%20biofilm%20repressed%2C%20induced%20by%20biofilm%20drug%20exposure%3B%20Bcr1-repressed%20in%20RPMI%20a%2Fa%20biofilms	0	0	0	447	424	431	767	956	866	438	428	426	737	748	781	0	0	431	407	457	451	872	923	835	661	660	662	842	870	859	0	0	0	476	504	494	872	1556	1025	523	507	575	1009	821	861
C1_05610W_A	Ca22chr1A_C_albicans_SC5314	1174224	1175690	+	1467	C1_05610W_A	NA	%28orf19.2494%29%20Ortholog%28s%29%20have%20glutaminyl-tRNA%20synthase%20%28glutamine-hydrolyzing%29%20activity%2C%20role%20in%20glutaminyl-tRNAGln%20biosynthesis%20via%20transamidation%2C%20mitochondrial%20translation%20and%20glutamyl-tRNA%28Gln%29%20amidotransferase%20complex%2C%20mitochondrion%20localization	0	0	0	442	391	413	465	552	537	449	386	493	580	539	468	0	0	413	339	368	347	550	522	516	431	484	464	470	461	489	0	0	0	365	376	344	606	965	651	434	391	446	601	535	570
C1_05620C_A	Ca22chr1A_C_albicans_SC5314	1175776	1177029	-	1254	C1_05620C_A	STE3	%28orf19.2492%29%20Protein%20similar%20to%20S.%20cerevisiae%20Ste3p%2C%20the%20receptor%20for%20a-factor%20mating%20pheromone%3B%20alpha%20mating-type-specific%20transcription	0	0	0	164	161	149	140	153	136	125	148	141	125	113	130	0	0	149	141	122	149	193	197	211	131	142	125	184	142	195	0	0	0	58	43	39	64	144	69	59	51	79	80	78	81
C1_05630C_A	Ca22chr1A_C_albicans_SC5314	1177543	1180872	-	3330	C1_05630C_A	NA	%28orf19.2489%29%20Putative%20karyopherin%20beta%3B%20repressed%20by%20nitric%20oxide	0	0	0	9447	8500	7954	4388	4548	4170	9108	8690	9414	4248	4248	3745	0	0	7954	4544	5349	4947	5526	5506	6241	3452	3932	3430	4692	4440	4751	0	0	0	5326	5809	5532	6073	10200	7075	5064	4604	5270	5937	5194	5276
C1_05640C_A	Ca22chr1A_C_albicans_SC5314	1181156	1182355	-	1200	C1_05640C_A	FAL1	%28orf19.2488%29%20eIF4A%20subfamily%20of%20DEAD-box%20ATP-dependent%20RNA%20helicases%3B%20predicted%20nucleolar%20protein%20required%20for%20maturation%20of%2018S%20rRNA%3B%20Spider%20biofilm%20induced	0	0	0	1574	1549	1337	955	998	934	1470	1246	1399	1016	946	975	0	0	1337	1245	1322	1407	1162	1231	1144	1229	1264	1163	1120	1078	1100	0	0	0	1113	1153	988	1168	1971	1242	1308	1151	1307	1171	1122	1096
C1_05650W_A	Ca22chr1A_C_albicans_SC5314	1182507	1183265	+	759	C1_05650W_A	NA	%28orf19.2487%29%20Protein%20with%20a%20predicted%20phosphoribulokinase%2Furidine%20kinase%20domain%3B%20Spider%20biofilm%20induced	0	0	0	648	649	575	432	478	484	620	545	601	434	495	456	0	0	575	671	752	694	643	664	630	666	653	642	596	567	607	0	0	0	529	606	574	651	1105	650	621	574	613	640	608	642
C1_05660C_A	Ca22chr1A_C_albicans_SC5314	1183318	1187598	-	4281	C1_05660C_A	NA	%28orf19.2485%29%20Ortholog%28s%29%20have%20promoter-specific%20chromatin%20binding%2C%20protein-containing%20complex%20binding%2C%20structural%20constituent%20of%20nuclear%20pore%20activity	0	0	1	2628	2421	2363	1881	1888	1797	2534	2352	2679	1986	2124	1879	0	0	2363	1838	1854	1998	2130	2085	2313	1869	2105	1917	2200	2023	2243	0	0	0	1768	1763	1639	2008	3432	2240	1776	1629	1758	2201	1991	1935
C1_05670W_A	Ca22chr1A_C_albicans_SC5314	1188181	1189434	+	1254	C1_05670W_A	NA	%28orf19.2484%29%20Has%20domain%28s%29%20with%20predicted%20peptidase%20activity%20and%20role%20in%20proteolysis	0	0	0	1153	989	1106	1482	1626	1555	917	891	931	1566	1693	1558	0	0	1106	910	966	999	1533	1506	1375	1085	1068	1089	1446	1389	1386	0	0	0	918	869	917	1287	2265	1408	827	782	965	1219	1106	1151
C1_05680C_A	Ca22chr1A_C_albicans_SC5314	1189532	1189963	-	432	C1_05680C_A	RIM1	%28orf19.2483%29%20Putative%20single-stranded%20DNA-binding%20protein%3B%20protein%20level%20decreases%20in%20stationary%20phase%20cultures%3B%20rat%20catheter%20biofilm%20repressed	0	0	0	1494	1435	1473	1079	1132	1175	1304	1137	1255	1130	1239	1152	0	0	1473	578	727	622	998	1189	996	870	800	816	1028	943	1025	0	0	0	481	497	536	787	1377	857	346	411	343	506	493	529
C1_05690C_A	Ca22chr1A_C_albicans_SC5314	1190242	1190988	-	747	C1_05690C_A	NA	%28orf19.2481%29%20Protein%20of%20unknown%20function%3B%20Spider%20biofilm%20induced	0	0	0	4	6	3	10	29	14	0	6	3	7	9	6	0	0	3	47	49	51	36	14	37	40	44	41	8	11	16	0	0	0	34	37	28	34	54	32	41	37	39	28	46	37
C1_05700W_A	Ca22chr1A_C_albicans_SC5314	1191581	1192072	+	492	C1_05700W_A	AUT7	%28orf19.2480.1%29%20Putative%20autophagosome%20protein%3B%20acts%20synergistically%20with%20Ysy6p%20to%20regulate%20unfolded%20protein%20response%20and%20mitochondrial%20function%20under%20ER%20stress%3B%20macrophage%2Fpseudohyphal-repressed%3B%20alternatively%20spliced%20intron%20in%205%27%20UTR	0	0	0	553	510	654	1606	1811	1873	428	382	467	1267	1279	1301	0	0	654	2931	3046	3092	2626	2627	2221	3459	2946	3302	2034	1682	1685	0	0	0	3219	2999	3070	2649	4581	2753	3495	3570	3466	3165	2992	3026
C1_05710C_A	Ca22chr1A_C_albicans_SC5314	1192511	1194184	-	1674	C1_05710C_A	UGA4	%28orf19.2479%29%20Putative%20gamma-aminobutyric%20acid%2Fpolyamine%20permease%3B%20nitrogen%20catabolite%20repressed%20gene%2C%20induced%20in%20absence%20of%20preferred%20N%20sources%3B%20transcriptionally%20induced%20upon%20phagocytosis%20by%20macrophage%3B%20gene%20regulation%20by%20nitrogen%20source%20requires%20Gat1p	0	0	0	63	61	80	66	87	57	61	63	59	42	66	57	0	0	80	49	72	42	137	157	160	74	74	65	94	101	109	0	0	0	39	26	34	73	122	71	21	22	33	67	83	68
C1_05720W_A	Ca22chr1A_C_albicans_SC5314	1195171	1196708	+	1538	C1_05720W_A	NA	%28orf19.2478.1%29%2060S%20ribosomal%20protein%20L7%3B%20snoRNA%20snR39b%20encoded%20within%20the%202nd%20intron	0	0	1	12761	12650	11948	11262	12086	12199	13574	12631	14145	11490	11733	10107	0	0	11948	10859	11825	11844	16289	17495	16830	9293	11253	9465	13422	13956	14542	0	1	0	8635	8797	9084	13236	22485	14510	8555	8151	9418	13439	12095	12872
C1_05730W_A	Ca22chr1A_C_albicans_SC5314	1195918	1195999	+	82	C1_05730W_A	NA	%28snR39b%29%20C%2FD%20box%20small%20nucleolar%20RNA%20%28snoRNA%29%3B%20encoded%20within%20the%202nd%20intron%20of%20orf19.2478.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_05740C_A	Ca22chr1A_C_albicans_SC5314	1196996	1198138	-	1143	C1_05740C_A	NA	%28orf19.2478%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_05410%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_107480%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_94695%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2D02288g	0	0	0	151	148	179	172	192	216	153	137	162	237	237	276	0	0	179	107	162	117	198	198	168	218	218	173	261	228	245	0	0	0	122	113	125	139	287	160	57	63	101	105	114	101
C1_05750C_A	Ca22chr1A_C_albicans_SC5314	1198353	1203407	-	5055	C1_05750C_A	NA	%28orf19.2476%29%20Ortholog%28s%29%20have%20histone%20demethylase%20activity%20%28H3-trimethyl-K4%20specific%29%20activity	2	0	0	877	849	902	850	970	932	834	783	829	935	930	831	0	0	902	653	727	640	931	971	1009	723	714	775	959	904	1006	0	0	0	645	679	614	843	1395	851	550	511	731	869	772	779
C1_05760C_A	Ca22chr1A_C_albicans_SC5314	1204128	1204523	-	396	C1_05760C_A	PGA26	%28orf19.2475%29%20GPI-anchored%20adhesin-like%20protein%20of%20the%20cell%20wall%3B%20role%20in%20cell%20wall%20integrity%3B%20required%20for%20normal%20virulence%3B%20induced%20in%20high%20iron%20and%20during%20cell%20wall%20regeneration%3B%20Hap43-repressed	0	0	0	176	155	151	50	51	61	263	233	265	55	61	68	0	0	151	32	37	23	24	22	17	36	45	45	23	24	36	0	0	0	28	16	44	5	19	8	10	11	4	10	3	2
C1_05770C_A	Ca22chr1A_C_albicans_SC5314	1206048	1207700	-	1653	C1_05770C_A	PRC3	%28orf19.2474%29%20Putative%20carboxypeptidase%20Y%20precursor%3B%20transcript%20regulated%20by%20Nrg1%20and%20Mig1%3B%20regulated%20by%20Gcn2%20and%20Gcn4	0	0	0	824	733	807	1649	1939	2020	599	479	579	1835	1980	1815	0	0	807	1158	1183	1167	1951	1982	1741	1149	992	1170	1914	1694	1742	0	0	0	2291	2202	2146	3373	5759	3454	1158	1325	1347	2090	1941	1975
C1_05780W_A	Ca22chr1A_C_albicans_SC5314	1208498	1210402	+	1905	C1_05780W_A	NA	%28orf19.2473%29%20Putative%20RSC%20chromatin%20remodeling%20complex%20component%3B%20decreased%20transcription%20is%20observed%20upon%20fluphenazine%20treatment%20or%20in%20an%20azole-resistant%20strain%20that%20overexpresses%20CDR1%20and%20CDR2	0	0	0	1370	1275	1276	1250	1441	1511	1211	1077	1236	1238	1371	1294	0	0	1276	1523	1707	1668	1526	1521	1605	1460	1618	1501	1401	1377	1381	0	0	0	1345	1432	1176	1439	2385	1605	1480	1403	1557	1601	1455	1396
C1_05790W_A	Ca22chr1A_C_albicans_SC5314	1210686	1210895	+	210	C1_05790W_A	NA	%28orf19.2472.1%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_61610%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_107530%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_115252%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2D02200g	0	0	0	336	283	258	316	286	328	314	245	264	310	396	319	0	0	258	343	352	334	211	299	226	406	296	355	309	228	274	0	0	0	398	343	384	370	633	390	279	351	268	285	265	300
C1_05800C_A	Ca22chr1A_C_albicans_SC5314	1211015	1211707	-	693	C1_05800C_A	NA	%28orf19.2472%29%20Ortholog%20of%20S.%20pombe%20replication%20termination%20factor%20Rtf2%3B%20Spider%20biofilm%20induced	0	0	0	292	208	250	279	316	306	215	232	232	269	236	238	0	0	250	292	278	315	318	334	293	267	311	301	322	268	299	0	0	0	360	332	318	298	455	322	364	344	365	325	276	296
