"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"Name"	"Gene"	"Note"	"CEC3609_2_TR_24"	"CEC3609_3_TR_3"	"NI_3_TR_3"	"CEC3609_3_TR_6"	"CEC3672_3_TR_3"	"CEC3609_1_TR_6"	"NI_2_TR_3"	"CEC3672_2_TR_24"	"CEC3609_2_FP_6"	"CEC3609_1_FP_6"	"CEC3672_1_FP_24"	"CEC3609_2_FP_3"	"NI_2_TR_6"	"CEC3609_1_TR_24"	"CEC3672_1_TR_3"	"CEC3609_2_TR_6"	"NI_1_TR_24"	"CEC3672_1_TR_6"	"CEC3672_1_FP_3"	"CEC3672_3_TR_6"	"CEC3672_2_TR_3"	"CEC3609_3_FP_3"	"CEC3672_3_FP_3"	"CEC3609_2_TR_3"	"CEC3672_1_FP_6"	"NI_2_TR_24"	"CEC3672_2_FP_3"	"CEC3609_1_TR_3"	"CEC3672_2_FP_24"	"CEC3672_2_FP_6"	"CEC3609_2_FP_24"	"CEC3609_1_FP_3"	"CEC3609_1_FP_24"	"CEC3672_1_TR_24"	"CEC3672_3_TR_24"	"NI_1_TR_6"	"NI_1_TR_3"	"CEC3672_3_FP_24"	"CEC3609_3_FP_6"	"CEC3672_2_TR_6"	"CEC3609_3_FP_24"	"CEC3672_3_FP_6"	"CEC3609_3_TR_24"	"NI_3_TR_24"
"C2_06210C_A"	"Ca22chr2A_C_albicans_SC5314"	1266800	1267978	"-"	1179	"C2_06210C_A"	"SER1"	"%28orf19.5484%29%20Putative%203-phosphoserine%20aminotransferase%3B%20predicted%20role%20in%20serine%20and%20glycine%20biosynthesis%3B%20protein%20present%20in%20exponential%20and%20stationary%20yeast%20growth%20phases%3B%20Spider%20biofilm%20repressed"	1511	2442	0	2298	2485	2195	0	3939	1968	2265	2035	2044	0	1599	2084	2305	0	2483	2318	2274	2436	2327	2301	2378	2429	0	2435	2631	1842	2526	1349	2206	1288	2388	2579	0	0	1867	2211	2471	1644	2495	1657	0
"C2_06220C_A"	"Ca22chr2A_C_albicans_SC5314"	1268218	1269177	"-"	960	"C2_06220C_A"	"MEC3"	"%28orf19.5485%29%20Putative%20DNA%20damage%20and%20meiotic%20pachytene%20checkpoint%20protein%3B%20increased%20transcription%20is%20observed%20upon%20benomyl%20treatment"	229	196	0	329	408	358	0	746	398	398	416	216	0	278	332	290	0	464	362	415	372	269	380	248	443	0	387	279	405	517	279	245	318	427	474	0	0	429	408	491	299	521	262	0
"C2_06230W_A"	"Ca22chr2A_C_albicans_SC5314"	1269257	1271869	"+"	2613	"C2_06230W_A"	NA	"%28orf19.5486%29%20Putative%20endoribonuclease%3B%20heterozygous%20null%20mutant%20exhibits%20hypersensitivity%20to%20parnafungin%20and%20cordycepin%20in%20the%20C.%20albicans%20fitness%20test"	1326	1803	0	1811	1439	1626	0	2382	1720	1735	1494	1505	0	1380	1303	1688	0	1662	1514	1739	1496	1704	1315	1857	1581	0	1471	1887	1415	1534	1268	1848	1355	1304	1471	0	0	1379	1668	1762	1409	1516	1209	0
"C2_06240W_A"	"Ca22chr2A_C_albicans_SC5314"	1272064	1272479	"+"	416	"C2_06240W_A"	"SMD2"	"%28orf19.5486.1%29%20Putative%20Core%20Sm%20protein%3B%20Hap43p-induced%20gene%3B%20flucytosine%20induced"	368	412	0	473	384	486	0	650	464	497	337	351	0	341	431	456	0	444	347	432	403	356	309	407	398	0	353	454	343	362	385	368	321	374	322	0	0	381	413	462	322	399	373	0
"C2_06250C_A"	"Ca22chr2A_C_albicans_SC5314"	1272572	1274758	"-"	2187	"C2_06250C_A"	"CDC46"	"%28orf19.5487%29%20Putative%20hexameric%20MCM%20complex%20subunit%3B%20predicted%20role%20in%20control%20of%20cell%20division%3B%20periodic%20mRNA%20expression.%20peak%20at%20cell-cycle%20M%2FG1%20phase%3B%20regulated%20by%20tyrosol%2C%20cell%20density%2C%20Plc1%3B%20repressed%20by%20alpha%20pheromone%20in%20SpiderM%20medium"	671	2448	0	1406	3841	1279	0	3917	2169	2037	1671	1554	0	762	3634	1420	1	3999	5216	4056	3878	1889	4373	2395	4383	0	4998	2428	1578	4419	383	1888	468	2053	2549	0	0	1658	2010	3993	545	4511	800	0
"C2_06260W_A"	"Ca22chr2A_C_albicans_SC5314"	1275158	1275673	"+"	516	"C2_06260W_A"	NA	"%28orf19.5488%29%20Ortholog%28s%29%20have%20mitochondrial%20inner%20membrane%2C%20mitochondrial%20large%20ribosomal%20subunit%20localization"	117	90	0	131	231	155	0	453	232	171	217	120	0	119	205	130	0	233	311	242	224	130	226	87	275	0	327	110	234	280	127	97	124	295	275	0	0	245	169	303	170	325	115	0
"C2_06270W_A"	"Ca22chr2A_C_albicans_SC5314"	1275898	1277094	"+"	1197	"C2_06270W_A"	NA	"%28orf19.5489%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_20660%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_104730%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_133951%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2F02068g"	62	109	0	76	107	72	0	171	109	91	86	68	0	41	113	80	0	137	136	146	100	109	133	81	134	0	145	108	88	134	55	91	40	83	92	0	0	81	123	154	47	137	52	0
"C2_06280C_A"	"Ca22chr2A_C_albicans_SC5314"	1277091	1278281	"-"	1191	"C2_06280C_A"	NA	"%28orf19.5491%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_20670%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_104720%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_103989%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2F02046g"	57	100	0	87	104	74	0	193	116	115	129	121	0	76	104	67	0	129	131	170	123	109	142	109	134	0	128	84	104	117	58	123	47	88	127	0	0	107	111	134	64	165	47	0
"C2_06290C_A"	"Ca22chr2A_C_albicans_SC5314"	1278612	1279313	"-"	702	"C2_06290C_A"	"ATP14"	"%28orf19.5491.1%29%20Putative%20mitochondrial%20F1F0%20ATP%20synthase%20subunit%3B%20macrophage%2Fpseudohyphal-induced"	2495	1610	0	1723	2683	1629	0	5571	1825	1834	2009	1409	0	2884	2403	1893	0	2511	2605	2314	2562	1717	2414	1650	2826	0	2672	1951	1754	2530	1935	1598	1479	3534	3371	0	0	1961	1675	2470	1641	2751	3326	0
"C2_06300W_A"	"Ca22chr2A_C_albicans_SC5314"	1279697	1280149	"+"	453	"C2_06300W_A"	NA	"%28orf19.5492%29%20Ortholog%28s%29%20have%20mRNA%20binding%2C%20pre-mRNA%205%27-splice%20site%20binding%20activity%2C%20role%20in%20mRNA%205%27-splice%20site%20recognition%20and%20U1%20snRNP%2C%20U2-type%20prespliceosome%2C%20commitment%20complex%20localization"	570	307	0	454	468	451	0	912	431	464	563	280	0	569	370	398	0	489	449	509	429	297	421	307	562	0	438	320	510	538	507	273	494	586	628	0	0	555	431	547	586	590	512	0
"C2_06310C_A"	"Ca22chr2A_C_albicans_SC5314"	1280608	1281252	"-"	645	"C2_06310C_A"	"GSP1"	"%28orf19.5493%29%20Small%20RAN%20G-protein%3B%20essential%3B%20no%20prenylation%20predicted%3B%20can%20rescue%20S.%20cerevisiae%20gsp1%20viability%3B%20macrophage%2Fpseudohyphal-induced%3B%20transcript%20not%20regulated%20by%20white-opaque%2C%20yeast-hypha%20switching%3B%20GlcNAc-induced%3B%20Spider%20biofilm%20repressed"	4947	6875	0	3380	4799	3229	0	9096	3218	3495	4039	7013	1	5084	4384	3191	0	4243	4915	3817	4472	7890	4534	7456	4458	0	4919	7500	3760	3883	4093	8167	3600	5463	5769	0	0	3794	3252	4337	3926	4275	5603	0
"C2_06320W_A"	"Ca22chr2A_C_albicans_SC5314"	1285202	1288468	"+"	3267	"C2_06320W_A"	NA	"%28orf19.5495%29%20Putative%20RNA-binding%20protein%3B%20induced%20by%20alpha%20pheromone%20in%20SpiderM%20medium"	1355	1471	0	1255	1494	1173	0	2120	1163	1005	1286	1069	0	1240	1312	1248	0	1576	1272	1623	1564	1277	1119	1476	1323	0	1324	1419	1312	1337	1099	1213	1222	1060	1403	0	0	1198	1059	1558	1218	1359	1201	0
"C2_06330C_A"	"Ca22chr2A_C_albicans_SC5314"	1288828	1290435	"-"	1608	"C2_06330C_A"	"AVT1"	"%28orf19.5496%29%20Putative%20vacuolar%20transporter%3B%20promoter%20bound%20by%20a1p%20and%20alpha2p%20by%20ChIP-chip%20analysis"	766	983	0	1185	1024	1119	0	1543	1115	1028	1032	820	0	692	1014	1286	0	1467	919	1610	1212	947	943	1043	1164	0	939	1089	980	1152	710	845	971	892	1083	0	0	1005	1128	1482	860	1131	641	0
"C2_06340W_A"	"Ca22chr2A_C_albicans_SC5314"	1295311	1297473	"+"	2163	"C2_06340W_A"	"EFH1"	"%28orf19.5498%29%20APSES%20transcription%20factor%3B%20homodimer%3B%20minor%20role%20in%20transcriptional%20regulation%20vs%20Efg1%3B%20regulates%20filamentous%20growth%2C%20phenotypic%20switch%3B%20EFG1%20and%20EFH1%20genetically%20interact%3B%20expression%20interferes%20with%20mouse%20intestinal%20tract%20colonization"	36	40	0	102	69	107	0	88	91	84	54	42	0	36	71	93	0	91	74	90	80	40	76	54	88	0	75	61	52	85	38	46	49	48	52	0	0	67	104	105	49	78	51	0
"C2_06350C_A"	"Ca22chr2A_C_albicans_SC5314"	1297757	1299199	"-"	1443	"C2_06350C_A"	NA	"%28orf19.5499%29%20Ortholog%28s%29%20have%204-hydroxyphenylpyruvate%20dioxygenase%20activity%20and%20role%20in%20aromatic%20amino%20acid%20family%20biosynthetic%20process"	13	6	0	17	0	13	0	5	15	12	7	2	0	11	6	16	0	12	6	8	6	5	3	5	13	0	11	1	6	13	7	3	7	5	1	0	0	3	8	11	5	11	8	0
"C2_06360C_A"	"Ca22chr2A_C_albicans_SC5314"	1299920	1300867	"-"	948	"C2_06360C_A"	"MAK16"	"%28orf19.5500%29%20Putative%20constituent%20of%2066S%20pre-ribosomal%20particles%3B%20Hap43-induced%3B%20repressed%20by%20prostaglandins%3B%20Spider%20biofilm%20induced"	2281	3010	0	2871	1709	2856	0	3616	2236	2094	2068	2837	0	2102	1892	2534	0	2843	1933	3128	2045	3128	1452	3738	2420	0	1673	4078	1926	1997	2260	3166	2542	2226	2308	0	0	2032	1917	2985	2390	2213	2024	0
"C2_06370C_A"	"Ca22chr2A_C_albicans_SC5314"	1301184	1301768	"-"	585	"C2_06370C_A"	"SCP1"	"%28orf19.17%29%20Putative%20cortical%20actin%20cytoskeleton%20protein%3B%20constitutive%20expression%20independent%20of%20MTL%20or%20white-opaque%20status"	588	280	0	327	222	366	0	939	329	346	591	252	0	567	269	339	0	404	225	353	294	298	222	245	339	0	234	270	643	338	684	256	684	588	622	0	0	609	297	340	608	307	642	0
"C2_06390C_A"	"Ca22chr2A_C_albicans_SC5314"	1302199	1304011	"-"	1813	"C2_06390C_A"	"IMH3"	"%28orf19.18%29%20Inosine%20monophosphate%20%28IMP%29%20dehydrogenase%3B%20enzyme%20of%20GMP%20biosynthesis%3B%20target%20of%20mycophenolic%20acid%20and%20mizoribine%20monophosphate%3B%20antigenic%20during%20infection%3B%20repressed%20in%20core%20stress%20response%3B%20snoRNA%20snR54%20encoded%20within%20IMH3%20intron"	8089	8013	0	8112	4920	7832	0	14639	6571	5787	9213	8223	0	6914	5147	8118	0	7723	5663	8355	5264	8641	4672	9233	6614	0	5536	9241	8188	7086	7213	8941	7770	8249	9600	0	0	8299	5634	8262	7926	7207	6842	1
"C2_06400C_A"	"Ca22chr2A_C_albicans_SC5314"	1303415	1303501	"-"	87	"C2_06400C_A"	NA	"%28snR54%29%20C%2FD%20box%20small%20nucleolar%20RNA%20%28snoRNA%29%3B%20snR54%20is%20encoded%20within%20the%20intron%20of%20orf19.18%2FIMH3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2_06410W_A"	"Ca22chr2A_C_albicans_SC5314"	1304759	1304860	"+"	102	"C2_06410W_A"	NA	"%28snR50%29%20C%2FD%20box%20small%20nucleolar%20RNA%20%28snoRNA%29"	11	22	0	20	13	27	0	31	24	18	12	29	0	11	16	17	0	18	34	45	20	36	13	20	30	0	19	26	26	31	23	26	21	24	13	0	0	15	9	18	9	34	13	0
"C2_06420C_A"	"Ca22chr2A_C_albicans_SC5314"	1305528	1308080	"-"	2553	"C2_06420C_A"	"RTS1"	"%28orf19.20%29%20Putative%20serine%2Fthreonine-protein%20phosphatase%20B-type%20regulatory%20subunit%3B%20transcription%20is%20regulated%20upon%20yeast-hyphal%20switch"	1480	1925	0	1386	1614	1357	0	2617	1494	1655	1713	1589	0	1524	1394	1480	0	1730	1561	1610	1666	1834	1537	1777	1597	0	1716	1936	1589	1392	1274	1736	1352	1566	1844	0	0	1566	1641	1575	1460	1406	1406	0
"C2_06430C_A"	"Ca22chr2A_C_albicans_SC5314"	1309685	1310272	"-"	588	"C2_06430C_A"	NA	"%28orf19.21%29%20Ortholog%28s%29%20have%20role%20in%20ethanol%20metabolic%20process%20and%20mitochondrial%20inner%20membrane%20localization"	547	70	0	276	140	253	0	1129	347	312	730	96	0	520	156	202	0	264	161	240	151	101	161	58	288	0	197	71	678	270	643	111	655	730	691	0	0	615	278	261	521	259	534	0
"C2_06440C_A"	"Ca22chr2A_C_albicans_SC5314"	1310642	1311376	"-"	735	"C2_06440C_A"	NA	"%28orf19.22%29%20Protein%20with%20homology%20to%20peroxisomal%20membrane%20proteins%3B%20Sef1p-%2C%20Sfu1p-%2C%20and%20Hap43p-regulated%20gene"	1572	308	0	544	101	640	0	3085	401	408	1827	149	0	1237	99	647	0	357	59	320	143	196	90	328	274	0	86	379	1791	260	1647	191	1439	1816	1779	0	0	1805	361	395	1368	296	1440	0
"C2_06460W_A"	"Ca22chr2A_C_albicans_SC5314"	1314688	1316082	"+"	1395	"C2_06460W_A"	"RTA3"	"%28orf19.23%29%207-transmembrane%20receptor%20protein%20involved%20in%20regulation%20of%20asymmetric%20lipid%20distribution%20in%20plasma%20membrane%3B%20involved%20in%20biofilm%20formation%3B%20putative%20drug-responsive%20regulatory%20site%3B%20rat%20catheter%20biofilm%20induced"	359	38	0	100	36	100	0	1277	146	118	459	53	0	304	35	109	0	144	77	155	62	62	63	43	158	0	84	53	518	153	314	52	329	703	742	0	0	474	146	150	346	139	278	0
"C2_06470W_A"	"Ca22chr2A_C_albicans_SC5314"	1317087	1318448	"+"	1362	"C2_06470W_A"	"RTA2"	"%28orf19.24%29%20Flippase%20involved%20in%20sphingolipid%20long%20chain%20base%20release%3B%20mediates%20calcineurin-dependent%20ER%20stress%20response%20and%20resistance%20to%20azoles%3B%20Plc1p%2C%20Ca2%2B%2C%20calcineurin-regulated%3B"	1162	1041	0	1363	389	1271	0	3229	745	747	3001	758	0	996	382	1371	0	922	344	991	481	761	352	1295	603	0	402	1331	2460	601	1895	860	2095	1790	1974	0	0	2701	782	963	2013	545	854	0
"C2_06480W_A"	"Ca22chr2A_C_albicans_SC5314"	1318661	1319632	"+"	972	"C2_06480W_A"	NA	"%28orf19.25%29%20Ortholog%28s%29%20have%20tRNA%20%28guanine%289%29-N%281%29%29-methyltransferase%20activity%20and%20role%20in%20tRNA%20N1-guanine%20methylation"	766	853	0	1060	580	983	0	1330	1047	907	780	876	0	745	545	1030	0	811	589	795	571	1116	563	980	754	0	689	1002	746	739	766	1020	873	897	884	0	0	795	969	874	820	740	727	0
"C2_06490W_A"	"Ca22chr2A_C_albicans_SC5314"	1319860	1321047	"+"	1188	"C2_06490W_A"	NA	"%28orf19.26%29%20Putative%20peptide%20N-glycanase%3B%20induced%20by%20nitric%20oxide%20independent%20of%20Yhb1p"	563	407	0	563	500	576	0	979	743	723	622	418	0	581	470	509	0	502	453	511	493	471	485	417	571	0	488	487	598	496	595	443	618	611	622	0	0	573	661	565	645	547	579	0
"C2_06500W_A"	"Ca22chr2A_C_albicans_SC5314"	1321383	1321469	"+"	87	"C2_06500W_A"	"tI%28AAU%291"	"%28tI%28AAU%291%29%20tRNA-Ile%2C%20predicted%20by%20tRNAscan-SE%3B%20AAU%20anticodon"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2_06510W_A"	"Ca22chr2A_C_albicans_SC5314"	1321731	1323038	"+"	1308	"C2_06510W_A"	NA	"%28orf19.27%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_20860%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_104250%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_115100%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2E10450g"	526	242	0	606	442	546	0	681	647	705	547	172	0	568	325	640	0	425	313	388	396	214	296	220	471	0	279	227	570	366	668	218	647	455	503	0	0	560	661	453	650	409	542	0
"C2_06520C_A"	"Ca22chr2A_C_albicans_SC5314"	1323080	1323985	"-"	906	"C2_06520C_A"	NA	"%28orf19.28%29%20Putative%20thiamine%20transmembrane%20transporter%3B%20Spider%20biofilm%20induced"	524	999	0	1157	767	1144	0	1277	940	1091	872	749	0	389	765	1030	0	1169	751	1215	860	867	712	1062	1119	0	781	1152	821	997	595	833	779	696	777	0	0	797	986	1286	633	999	410	0
"C2_06530W_A"	"Ca22chr2A_C_albicans_SC5314"	1324473	1325444	"+"	972	"C2_06530W_A"	NA	"%28orf19.29%29%20Ortholog%20of%20S.%20cerevisiae%20Tah11%2C%20a%20DNA%20replication%20licensing%20factor%20required%20for%20pre-replication%20complex%20assembly%3B%20rat%20catheter%2C%20flow%20model%20and%20Spider%20biofilm%20induced"	565	479	0	1070	674	981	0	1151	1178	975	913	382	0	558	619	918	0	993	759	914	694	373	694	529	946	0	688	572	872	882	665	377	841	676	804	0	0	873	1017	1054	676	956	484	0
"C2_06540C_A"	"Ca22chr2A_C_albicans_SC5314"	1325586	1329257	"-"	3672	"C2_06540C_A"	"SPF1"	"%28orf19.30%29%20P-type%20calcium-transporting%20ATPase%2C%20involved%20in%20control%20of%20calcium%20homeostasis%2C%20response%20to%20ER%20stress%2C%20hyphal%20growth%2C%20biofilm%20formation%20and%20virulence"	1798	3552	0	1281	1974	1304	0	3697	1257	1211	1959	3241	0	1895	2096	1434	0	2119	2395	2116	2190	3363	2068	3503	1882	0	2384	3741	1738	1726	1395	3380	1315	2231	2478	0	0	1688	1198	1971	1474	1985	1965	0
"C2_06550W_A"	"Ca22chr2A_C_albicans_SC5314"	1330846	1331601	"+"	756	"C2_06550W_A"	NA	"%28orf19.31%29%20Ortholog%20of%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_201960%2C%20C.%20dubliniensis%20CD36%20%3A%20Cd36_20900%2C%20Candida%20tropicalis%20MYA-3404%20%3A%20CTRG_04756%20and%20Candida%20albicans%20WO-1%20%3A%20CAWG_04394"	343	268	0	376	588	340	0	661	618	622	596	202	0	298	466	388	0	408	447	388	486	235	435	220	503	0	475	267	537	493	466	230	496	377	444	0	0	510	584	479	522	499	284	0
"C2_06560W_A"	"Ca22chr2A_C_albicans_SC5314"	1332428	1332503	"+"	76	"C2_06560W_A"	NA	"%28snR8b%29%20H%2FACA%20box%20small%20nucleolar%20RNA%20%28snoRNA%29"	2	1	0	4	0	5	0	0	2	2	0	1	0	2	0	3	0	0	0	2	0	4	1	3	3	0	1	6	2	0	4	2	3	5	1	0	0	4	2	1	3	1	4	0
"C2_06570C_A"	"Ca22chr2A_C_albicans_SC5314"	1332506	1332811	"-"	306	"C2_06570C_A"	NA	"%28orf19.33%29%20Predicted%20ORF%20from%20Assembly%2019%3B%20removed%20from%20Assembly%2020%3B%20restored%20based%20on%20transcription%20data%3B%20similar%20to%20orf19.7550"	2933	2688	0	2913	3237	2841	0	2586	3454	3251	2117	2678	0	2946	3279	2906	0	1753	2749	1718	3446	2694	2989	3047	2407	0	3022	2971	1998	2333	3724	2577	3071	1624	1545	0	0	2028	2977	1896	3255	2747	3492	0
"C2_06590C_A"	"Ca22chr2A_C_albicans_SC5314"	1334165	1335724	"-"	1560	"C2_06590C_A"	"GIT1"	"%28orf19.34%29%20Glycerophosphoinositol%20permease%3B%20involved%20in%20utilization%20of%20glycerophosphoinositol%20as%20a%20phosphate%20source%3B%20Rim101-repressed%3B%20virulence-group-correlated%20expression"	171	556	0	151	812	120	0	325	153	71	110	325	0	168	914	166	0	174	868	276	970	352	663	505	140	0	817	552	101	202	84	352	107	161	237	0	0	96	94	142	99	234	122	0
"C2_06600W_A"	"Ca22chr2A_C_albicans_SC5314"	1341011	1343941	"+"	2931	"C2_06600W_A"	NA	"%28orf19.35%29%20Predicted%20kinase%3B%20rat%20catheter%2C%20flow%20model%2C%20Spider%20biofilm%20induced"	4215	610	0	4109	806	3931	0	2436	4952	5656	2316	585	0	4439	965	3902	0	1138	541	1102	993	679	603	602	1819	0	572	695	2321	1250	4362	594	4465	1616	1651	0	0	2113	5522	1171	4108	1328	4161	0
"C2_06610C_A"	"Ca22chr2A_C_albicans_SC5314"	1345071	1345313	"-"	243	"C2_06610C_A"	NA	"%28orf19.35.1%29%20Protein%20of%20unknown%20function"	139	131	0	89	88	146	0	277	109	131	81	120	0	119	102	115	0	91	89	96	114	120	90	146	101	0	96	167	86	83	104	125	112	135	96	0	0	90	129	96	86	103	136	0
"C2_06620W_A"	"Ca22chr2A_C_albicans_SC5314"	1346884	1348161	"+"	1278	"C2_06620W_A"	NA	"%28orf19.36%29%20Component%20of%20the%20conserved%20oligomeric%20Golgi%20complex%3B%20predicted%20to%20mediate%20fusion%20of%20transport%20vesicles%20to%20Golgi%20compartments%3B%20clade-associated%20gene%20expression"	128	146	0	155	178	188	0	332	222	172	207	159	0	146	169	155	0	193	194	255	220	162	183	143	204	0	192	163	202	219	153	158	150	195	233	0	0	195	179	210	148	258	140	0
"C2_06630C_A"	"Ca22chr2A_C_albicans_SC5314"	1349765	1349971	"-"	207	"C2_06630C_A"	NA	"%28orf19.36.1%29%20Ortholog%20of%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_104640%20and%20Candida%20orthopsilosis%20Co%2090-125%20%3A%20CORT_0B05695"	121	110	0	7	28	43	0	74	9	15	15	57	0	64	17	26	0	6	19	6	12	67	20	61	16	0	32	91	13	14	47	45	25	47	41	0	0	11	16	12	14	15	146	0
"C2_06640C_A"	"Ca22chr2A_C_albicans_SC5314"	1350861	1354220	"-"	3360	"C2_06640C_A"	"VAS1"	"%28orf19.1295%29%20Putative%20tRNA-Val%20synthetase%3B%20genes%20encoding%20ribosomal%20subunits%2C%20translation%20factors%2C%20and%20tRNA%20synthetases%20are%20downregulated%20upon%20phagocytosis%20by%20murine%20macrophage"	2859	3833	0	2450	2464	2680	0	5818	2202	1837	3417	4261	0	2943	2426	2575	1	2818	2885	2922	2499	4682	2608	4049	2635	0	3040	4329	2888	2517	2298	4150	2387	3461	4052	0	0	2908	1877	2616	2535	2869	2830	0
"C2_06650C_A"	"Ca22chr2A_C_albicans_SC5314"	1354541	1356250	"-"	1710	"C2_06650C_A"	NA	"%28orf19.1296%29%20Ortholog%28s%29%20have%20role%20in%20spliceosomal%20snRNP%20assembly%20and%20U4%2FU6%20x%20U5%20tri-snRNP%20complex%20localization"	458	519	0	684	451	643	0	942	642	568	666	648	0	410	513	577	0	712	479	672	487	729	486	568	656	0	519	672	657	623	480	569	617	652	641	0	0	657	628	660	617	657	460	0
"C2_06660W_A"	"Ca22chr2A_C_albicans_SC5314"	1356510	1357319	"+"	810	"C2_06660W_A"	NA	"%28orf19.81%29%20Ortholog%28s%29%20have%20role%20in%20exonucleolytic%20trimming%20to%20generate%20mature%203%27-end%20of%205.8S%20rRNA%20from%20tricistronic%20rRNA%20transcript%20%28SSU-rRNA%2C%205.8S%20rRNA%20and%20LSU-rRNA%29%2C%20more"	480	722	0	722	374	834	0	924	745	600	526	643	0	417	570	732	0	637	452	693	491	742	380	732	552	0	452	881	540	582	625	624	686	567	545	0	0	536	631	566	570	658	387	0
"C2_06670C_A"	"Ca22chr2A_C_albicans_SC5314"	1357769	1359901	"-"	2133	"C2_06670C_A"	"DBF2"	"%28orf19.1223%29%20Essential%20serine%2Fthreonine%20protein%20kinase%20involved%20in%20mitotic%20spindle%20formation%20and%20cytokinesis%3B%20required%20for%20septum%20formation%2C%20exit%20from%20mitosis%2C%20and%20normal%20hyphal%20morphogenesis%3B%20virulence-group-correlated%20expression"	830	638	0	820	357	741	0	978	783	817	474	603	0	859	407	702	0	422	566	375	454	777	508	721	432	0	558	644	477	389	790	613	720	652	704	0	0	482	763	339	717	444	975	0
"C2_06680W_A"	"Ca22chr2A_C_albicans_SC5314"	1365086	1365943	"+"	858	"C2_06680W_A"	"FRP3"	"%28orf19.1224%29%20Putative%20ammonium%20transporter%3B%20upregulated%20in%20the%20presence%20of%20human%20neutrophils%3B%20fluconazole-downregulated%3B%20repressed%20by%20nitric%20oxide%3B%20Spider%20biofilm%20induced%3B%20rat%20catheter%20biofilm%20repressed"	15685	975	0	4525	1153	4542	0	14150	2447	2658	11462	1452	0	15464	1258	4544	0	2134	997	1713	1496	1593	1133	1027	1445	0	1210	1094	10705	1822	14041	1508	11690	8557	8976	1	0	11054	2583	2077	12245	1845	25688	0
"C2_06690C_A"	"Ca22chr2A_C_albicans_SC5314"	1366921	1367544	"-"	624	"C2_06690C_A"	"PEX22"	"%28orf19.1225%29%20Putative%20peroxin"	649	300	0	906	521	918	0	858	703	550	759	279	0	570	542	793	0	552	440	537	627	316	429	307	410	0	440	285	726	423	820	270	881	540	570	1	0	780	630	562	927	491	591	0
"C2_06700W_A"	"Ca22chr2A_C_albicans_SC5314"	1371621	1373636	"+"	2016	"C2_06700W_A"	"AMO2"	"%28orf19.3152%29%20Protein%20similar%20to%20A.%20niger%20predicted%20peroxisomal%20copper%20amino%20oxidase%3B%20mutation%20confers%20hypersensitivity%20to%20toxic%20ergosterol%20analog%3B%20F-12%2FCO2%20early%20biofilm%20induced"	531	488	0	499	615	647	0	1195	557	713	952	371	0	483	614	558	0	782	591	724	695	455	618	360	801	0	681	526	809	756	435	443	416	741	777	0	0	838	711	777	444	751	588	0
"C2_06710W_A"	"Ca22chr2A_C_albicans_SC5314"	1374467	1375636	"+"	1170	"C2_06710W_A"	NA	"%28orf19.3151%29%20Has%20domain%28s%29%20with%20predicted%20catalytic%20activity%2C%20coenzyme%20binding%20activity%20and%20role%20in%20cellular%20metabolic%20process"	262	129	0	345	280	315	0	600	292	352	413	85	0	249	257	333	0	361	250	317	289	82	252	84	306	0	270	119	341	311	281	78	263	361	368	0	0	382	344	369	337	297	228	0
"C2_06720W_A"	"Ca22chr2A_C_albicans_SC5314"	1376330	1377367	"+"	1038	"C2_06720W_A"	"GRE2"	"%28orf19.3150%29%20Putative%20reductase%3B%20Nrg1%20and%20Tup1-regulated%3B%20benomyl-%20and%20hyphal-induced%3B%20macrophage%2Fpseudohyphal-repressed%3B%20repressed%20by%20low%20iron%3B%20possibly%20involved%20in%20osmotic%20stress%20response%3B%20stationary%20phase%20enriched%20protein%3B%20Spider%20biofilm%20induced"	419	662	0	411	1885	443	0	1022	461	567	458	347	0	480	1571	463	0	1231	1339	1133	1790	459	1293	477	946	0	1407	518	330	863	378	384	345	625	635	0	0	396	557	1131	348	942	455	0
